"","sp_code","species","pop_log_k_mean","pop_log_k_sd","pop_log_max_growth_mean","pop_log_max_growth_sd","pop_log_size_at_max_growth_mean","pop_log_size_at_max_growth_sd","pop_k_mean","pop_max_growth_mean","pop_size_at_max_growth_mean","samp","median_ind_max_growth","median_ind_size_at_max_growth","median_ind_k","gmax_95","max_est_size","sd_ind_log_size_at_max_growth","gobs_95","walltime","pop_level_model_k","pop_level_model_max_growth","pop_level_model_size_at_max_growth","WD","Hmax","mean_b_coeff"
"1","alsebl","Alseis blackiana",-1.00119045830628,0.762258125964199,-1.27696612724737,0.987785725921017,2.26291170941555,0.866456104938144,0.367441756609292,0.278882111119288,9.61103300014027,300,0.246156443344636,10.9714208400136,0.337524790377449,0.916379552866666,41.3335296501356,0.507097130072349,0.451623306174522,153,2.24063241863187,1.90535686768847,1301.25670576989,0.591,28.6,0.566
"2","beilpe","Beilschmiedia tovarensis",-0.299260417185152,1.2173668811608,-1.98321929093885,1.15455505646594,1.61073922413754,1.13355180108961,0.741366319764008,0.137625466962478,5.00651079388457,300,0.0877453547723615,4.59958191615224,0.871124200119852,0.906561900089414,48.2526994268728,0.620173474511566,0.35087195423638,147,2.51652194922842,1.51340967058495,2175.30783543283,0.528,34.2,0.3335
"3","cordbi","Cordia bicolor",-0.629616722736175,0.419088697666323,-0.0895257104960395,0.68436235233793,2.32751603138862,0.594045457759519,0.532795970459378,0.914364756050652,10.2524431306121,300,0.806684899221014,10.6384730183617,0.536128725505697,2.24631701219577,50.0642479912798,0.443149763703271,1.1632452256887,28,0.799021640422877,0.52651626218932,12.7036313739783,0.381,24.8,0.95
"4","faraoc","Faramea occidentalis",-0.637752947339648,0.595061774288102,-1.81768910317511,0.57860674350574,1.5389009474592,0.638147676286037,0.528478610099433,0.162400608689243,4.65946645738497,300,0.143330460578709,4.71209470751022,0.550073438253657,0.344018097940961,18.7565525962543,0.434477723967068,0.276472967834755,21,1.99994718903132,0.147050380088938,26.5372253721936,0.681,15.7,0.128
"5","gar2in","Garcinia recondita",-0.375686195128188,0.75877864407398,-2.53984735245968,0.843736979346087,1.48271510469316,0.549987964760611,0.68681782600901,0.0788784394715074,4.40488919496222,300,0.0578986877288728,4.2550285487689,0.762655993033803,0.277781575225695,24.4352787607042,0.278138360126086,0.18902281688808,32,1.08185145948733,0.139169336186251,12.775432974501,0.703,15.9,0.0495
"6","hirttr","Hirtella triandra",-0.339782206352724,0.702699497194867,-1.72193569656774,0.88289959184631,2.16337625655376,0.562400088789834,0.711925358699535,0.178719865440602,8.70046312109712,300,0.138147326400394,8.93816236928604,0.742437816702158,0.569855653999582,34.494763730944,0.258008306607916,0.44091076750174,36,1.08526446535491,0.216949175850173,15.1515477100831,0.63,22.7,0.264
"7","jac1co","Jacaranda copaia",-0.509503368034804,0.476935164456084,0.23542131901953,0.445048642319985,3.2104553710701,0.522038046229443,0.600793878178032,1.2654418111377,24.7903724731184,127,1.11583870433429,26.8380702978863,0.638197699825541,2.59126571943483,89.7146856201436,0.408353590164692,1.86467349127338,4,0.779777277269222,0.971605400663925,33.7243745516979,0.374,31.8,0.206
"8","pri2co","Prioria copaifera",-0.239574557307306,0.691364179192606,-0.681611577717747,0.906357320285505,3.67227947491721,0.634716663362955,0.786962597342416,0.505801197244445,39.3414816492615,300,0.422816690744366,41.1454473060885,0.788850377926105,1.61635058083465,111.805955506724,0.303386285537136,1.18576627647715,41,0.79825312917277,0.904451129277659,48.1193678716633,0.403,35.5,0.288
"9","protpa","Protium panamense",-1.05367941928963,0.585708099632634,-2.10301691157472,0.980807542266432,1.09492156388504,0.552150836647473,0.348652547255092,0.122087544761415,2.98894823271161,300,0.0877841519957482,2.87250427545368,0.354318573474292,0.532760402807961,17.2371309073305,0.369618273210211,0.221247834901882,75,2.13241232938592,0.203837109173556,90.7379919054076,0.601,19.2,0.535
"10","protte","Protium tenuifolium",-0.666249226472678,0.747593869982213,-1.26503567740176,0.956130731217666,2.1067753980691,0.793472066386118,0.513631484713671,0.282229226755387,8.22168682664153,300,0.224877980617132,8.64553982213546,0.517444940815156,0.895544232069425,42.7455723266404,0.497571081023534,0.521799525448083,108,1.10673032226462,0.289738030095174,18.3228240432669,0.596,20.5,0.541
"11","quaras","Quararibea asterolepis",-0.518672942077413,0.84346974082814,-1.10801582935675,0.891425492095809,2.78063531755481,0.462124720785397,0.595310034905102,0.330213511446047,16.1292648987385,300,0.267118390273191,15.8665826455253,0.590194212502593,1.08605179113854,42.0842666596984,0.229943621623376,0.63733031577243,50,0.979884913146274,0.401499162096325,26.0497605333183,0.559,33.5,0.198
"12","swars1","Swartzia simplex",-0.706610285526269,1.08662783010159,-2.39638699461893,1.11521761887565,1.51951726794941,0.773032280215417,0.49331355864347,0.0910463105639137,4.5700185681456,300,0.0611803480306899,4.20162123386588,0.569516967957639,0.450908679517464,36.4686009835688,0.421479554393339,0.205317746696081,143,2.51677510386959,0.211855380182021,252.283652339679,0.79,17.1,0.122
"13","swars2","Swartzia simplex2",0.408545881849473,1.41834074654969,-3.31760609095642,0.878982960846688,1.20922410449438,0.840826519240985,1.50462828630277,0.0362394820199797,3.35088370804,300,0.0277935587609763,3.25122417088059,1.78999604778249,0.108303427930083,22.9024108658426,0.305511953354429,0.133763462067826,185,3.79826553723212,0.707018878509655,44846.0342965275,0.784,14.2,NA
"14","simaam","Simarouba amara",-0.340167258300345,0.499751956868941,-0.271778919053906,0.738785432346481,2.86854263142841,0.852482277632596,0.711651283223641,0.76202271117053,17.6113332845566,234,0.646405573929381,19.5807993808567,0.725576535995085,2.01005405958329,63.9293035456454,0.603878392460234,1.34751580000955,26,1.40017807055615,1.05265033054525,78.035615725194,0.396,30.1,0.692
"15","tachve","Tachigali panamensis",-0.667349713653961,0.587141390178962,-1.61780439373063,1.02696877022769,1.43300511856994,0.871642100376182,0.513066550757144,0.19833368406115,4.19127556574586,300,0.134230796692313,4.19305276124271,0.551962966603884,0.945127460056258,24.5457492622107,0.5936484647463,0.41853356253462,64,1.53708885285977,0.73153289519009,81.0998290737498,0.575,32.6,0.284
"16","tet2pa","Protium stevensonii",-0.415868914972243,0.850289354191925,-2.09826793641148,1.10644991601154,1.96983743019239,0.814921504056758,0.659766750358941,0.122668714366991,7.16951084760105,300,0.0791685901920406,7.02940924870174,0.701557223229109,0.589295167190554,44.3159617747783,0.406367162567227,0.350249265691023,84,1.85448301381463,0.578976057926755,184.134393044865,0.656,31.3,0.341
"17","tri2tu","Trichilia tuberculata",-0.323195964071689,1.1887332404049,-1.91908303665972,1.09883555258618,2.06736186734533,0.955169186568222,0.723831995403701,0.14674145699406,7.90394393633457,300,0.097353982139616,7.29043532609621,0.871611475864265,0.738746257572326,46.6017245103891,0.517620204498199,0.412291187213908,135,3.02089922368352,3.33185458402579,20018.0761948209,0.666,29.3,0.158
